,THIRTEENTH PARLIAMENT MEMBERS OF THE NATIONAL ASSEMBLY,,
,,,
,,,
(LIST ARRANGED BY PARTY IN ALPHABETICAL ORDER) ,,,
No. ,NAME ,CONSTITUENCY ,PARTY
1,"Adagala, Beatrice Kahai ",Vihiga (CWR) ,ANC
2,"Denar, Joseph Hamisi ",Nominated ,ANC
3,"Gimose, Charles Gumini ",Hamisi ,ANC
4,"IkanaM, Frederick Lusuli ",Shinyalu ,ANC
5,"Injendi, Moses Malulu ",Malava ,ANC
6,"Kagesi, Kivai Ernest Ogesi ",Vihiga ,ANC
7,"Omboko, Milemba Jeremiah ",Emuhaya ,ANC
8,"Tandaza, Kassim Sawa ",Matuga ,ANC
9,"Koech, Victor Kipngetich ",Chepalungu ,CCM
10,"Barasa, Patrick Simiyu ",Cherangany ,DAP-K
11,"Bisau, Maurice Kakai ",Kiminini ,DAP-K
12,"Oyugi, Dick Maungu ",Luanda ,DAP-K
13,"Salasya, Peter Kalerwa ",Mumias East ,DAP-K
14,"Wamboka, Nelson Jack Wamboka ",Bumula ,DAP-K
15,"Ruku, Geoffrey Kariuki Kiringa ",Mbeere North ,DP
16,"Kalasinga, Joseph Simiyu Wekesa Majimbo ",Kabuchai ,FORD-K
17,"Makali, John Okwisia ",Kanduyi ,FORD-K
18,"Murumba, John Chikati ",Tongaren ,FORD-K
19,"Wambilianga, Catherine Nanjala ",Busia (CWR) ,FORD-K
20,"Wanyonyi, Ferdinand Kevin ",Kwanza ,FORD-K
21,"Wanyonyi, Martin Pepela ",Webuye West ,FORD-K
22,"Muli, Fabian Kyule ",Kangundo ,GDDP
23,"Abdul, Rahim Dawood ",North Imenti ,Independent
24,"Ahmed, Shakeel Ahmed Shabbir ",Kisumu East ,Independent
25,"Caroline, Jeptoo Ng’elechei ",Elgeyo Marakwet (CWR) ,Independent
26,"Karauri, Ronald Kamwiko ",Kasarani ,Independent
27,"Kitilai, Ole Ntutu ",Narok South ,Independent
28,"Kururia, Elijah Njore Njoroge ",Gatundu North ,Independent
29,"Marubu, Monicah Muthoni ",Lamu (CWR) ,Independent
30,"Mohammed, Fatuma Zainabu ",Migori (CWR) ,Independent
31,"Mulanya, Geoffrey Ekesa ",Nambale ,Independent
32,"Mwalyo, Joshua Mbithi Mutua ",Masinga ,Independent
33,"Nebart, Bernard Muriuki ",Mbeere South ,Independent
34,"Toroitich, Timothy Kipchumba ",Marakwet West ,Independent
35,"Abdirahman, Mohamed Abdi ",Lafey ,JP
36,"Arama, Samuel ",Nakuru Town West ,JP
37,"Bonaya, Mumina Gollo ",Isiolo (CWR) ,JP
38,"Chege, Sabina Wanjiru ",Nominated ,JP
39,"Hassan, Abdi Yusuf ",Kamkunji ,JP
40,"Ithinji, Dr. Shadrack Mwiti ",South Imenti ,JP
41,"Karitho, Kiili Daniel ",Igembe Central ,JP
42,"Kiaraho, David Njuguna ",Ol Kalou ,JP
43,"Korere, Sarah Paulata ",Laikipia North ,JP
44,"Koyi, John Waluke ",Sirisia ,JP
45,"Kwenya, Thuku Zachary ",Kinangop ,JP
46,"Lomwa, Joseph Samal ",Isiolo North ,JP
47,"Maina, Mwago Amos ",Starehe ,JP
48,"Mogaka, Stephen M. ",West Mugirango ,JP
49,"Mohamed, Aden Daudi ",Wajir East ,JP
50,"Mongina, Jerusha Momanyi ",Nyamira (CWR) ,JP
51,"Mrembo, Irene Njoki ",Bahati ,JP
52,"Muiruri, Muthama Stanley ",Lamu West ,JP
53,"Mwenje, Mark Samuel Muriithi ",Embakasi West ,JP
54,"Ngikolong, Nicholas Ng�ikor Nixon",Turkana East ,JP
55,"Nyamai, Rachael Kaki ",Kitui South ,JP
56,"Obo, Ruweida Mohamed ",Lamu East ,JP
57,"Pareiyo, Agnes Mantaine ",Narok North ,JP
58,"Shake, Peter Mbogho ",Mwatate ,JP
59,"Shurie, Abdi Omar ",Balambala ,JP
60,"Siyad, Amina Udgoon ",Garissa (CWR) ,JP
61,"Tubi, Bidu Mohamed ",Isiolo South ,JP
62,"Wehliye, Adan Keynan ",Eldas ,JP`
63,"Abdullahi, Amina Dika ",Tana River (CWR) ,KANU
64,"Guyo, Adhe Wario ",North Horr ,KANU
65,"Kassait, William Kamket ",Tiaty ,KANU
66,"Lentoijoni, Jackson Lekumontare ",Samburu East ,KANU
67,"Lesuuda, Josephine Naisula ",Samburu West ,KANU
68,"Sunkuli, Julius Lekakeny Ole ",Kilgoris ,KANU
69,"Kasiwai, Rael Chepkemoi ",West Pokot (CWR) ,KUP
70,"Pkosing, David Losiakou ",Pokot South ,KUP
71,"Titus, Lotee ",Kacheliba ,KUP
72,"Mule, Caleb Mutiso ",Machakos Town ,MCCP
73,"Mutuse, Eckomas Mwengi ",Kibwezi West ,MCCP
74,"Ochieng, David Ouma ",Ugenya ,MDG
75,"Abdi, Abdi Ali ",Ijara ,NAP-K
76,"Aburi, Lawrence Mpuru ",Tigania East ,NOPEU
77,"Abdirahman, Husseinweytan Mohamed ",Mandera East ,ODM
78,"Abuor, Paul ",Rongo ,ODM
79,"Adow, Mohamed Aden ",Wajir South ,ODM
80,"Amollo, Paul Otiende ",Rarieda ,ODM
81,Samuel Onunga ,Alego Usonga ,ODM
82,"Bady, Bady Twalib ",Jomvu ,ODM
83,"Barongo, Nolfason Obadiah ",Bomachoge Borabu ,ODM
84,"Bedzimba, Rashid Juma ",Kisauni ,ODM
85,"Busia, Ruth Adhiambo Odinga ",Kisumu (CWR) ,ODM
86,"Buyu, Rozaah Akinyi ",Kisumu West ,ODM
87,"Chimba, Zamzam Mohamed ",Mombasa (CWR) ,ODM
88,"Elachi, Beatrice Kadeveresia ",Dagoretti North ,ODM
89,"Farah, Yussuf Mohamed ",Wajir West ,ODM
90,"Francis, Kajwang� Tom Joseph",Ruaraka ,ODM
91,"Gisairo, Clive Ombane ",Kitutu Masaba ,ODM
92,"Gogo, Lilian Achieng ",Rangwe ,ODM
93,"Guyo, Ali Wario ",Garsen ,ODM
94,"Hamisi, Kakuta Maimai ",Kajiado East ,ODM
95,"Hiribae, Said Buya ",Galole ,ODM
96,"Jehow, Fatuma Abdi ",Wajir (CWR) ,ODM
97,"Kaluma, George Peter Opondo ",Homa Bay Town ,ODM
98,"Kanchory, Elijah Memusi ",Kajiado Central ,ODM
99,"Katana, Paul Kahindi ",Kaloleni ,ODM
100,"Khodhe, Phelix Odiwuor ",Langata ,ODM
101,"Kibagendi, Antoney ",Kitutu Chache South ,ODM
102,"Kiti, Richard Ken Chonga ",Kilifi South ,ODM
103,"Kombe, Harrison Garama ",Magarini ,ODM
104,"Luyai, Caleb Amisi ",Saboti ,ODM
105,"Machele, Mohamed Soud ",Mvita ,ODM
106,"Manduku, Daniel Ogwoka ",Nyaribari Masaba ,ODM
107,"Masara, Peter Francis ",Suna West ,ODM
108,"Masito, Fatuma Hamisi ",Kwale (CWR) ,ODM
109,"Mayaka, Irene Nyakerario ",Nominated ,ODM
110,"Mboko, Mishi Juma Khamisi ",Likoni ,ODM
111,"Mohamed, Abdikadir Hussein ",Lagdera ,ODM
112,"Mohamed, Junet Sheikh Nuh ",Suna East ,ODM
113,"Mohamed, Umulkher Harun ",Nominated ,ODM
114,"Mugabe, Innocent Maino ",Likuyani ,ODM
115,"Muhanda, Elsie Busihile ",Kakamega (CWR) ,ODM
116,"Mukhwana, Titus Khamala ",Lurambi ,ODM
117,"Mwale, Nicholas S. Tindi ",Butere ,ODM
118,"Mwanyanje, Gertrude Mbeyu ",Kilifi (CWR) ,ODM
119,"Mnyazi, Amina Laura ",Malindi ,ODM
120,"Nabii, Nabwera Daraja ",Lugari ,ODM
121,"Nabulindo, Peter Oscar ",Matungu ,ODM
122,"Naibun, Paul Ekwom ",Turkana North ,ODM
123,"Naicca, Johnson Manya ",Mumias West ,ODM
124,"Namoit, John Ariko ",Turkana South ,ODM
125,"Ng�ongo, John Mbadi",Nominated ,ODM
126,"Nyamita, Mark Ogolla ",Uriri ,ODM
127,"Nyikal, James Wambura ",Seme ,ODM
128,"Obara, Eve Akinyi ",Kabondo Kasipul ,ODM
129,"Odanga, Geoffrey Makokha ",Matayos ,ODM
130,"Odege, Tom Mboya ",Nyatike ,ODM
131,"Odhiambo, Elisha Ochieng ",Gem ,ODM
132,"Odhiambo, Millie Grace Akoth ",Suba North ,ODM
133,"Odoyo, Okello Jared ",Nyando ,ODM
134,"Oduor, Christine Ombaka ",Siaya (CWR) ,ODM
135,"Ogolla, Gideon Ochanda ",Bondo ,ODM
136,"Oku, Edward Kaunya ",Teso North ,ODM
137,"Okuome, Andrew Adipo ",Karachuonyo ,ODM
138,"Oluoch, Anthony Tom ",Mathare ,ODM
139,"Omanyo, Catherine Nakhabi ",Busia (CWR) ,ODM
140,"Omondi, Caroli ",Suba South ,ODM
141,"Omwera, George Aladwa ",Makadara ,ODM
142,"Ongili, Babu Owino Paul ",Embakasi East ,ODM
143,"Orero, Peter Ochieng ",Kibra ,ODM
144,"Oron, Joshua Odongo ",Kisumu Central ,ODM
145,"Osero, Patrick Kibagendi ",Borabu ,ODM
146,"Osogo, Bensuda Joyce Atieno ",Homa Bay (CWR) ,ODM
147,"Oundo, Wilberforce Ojiambo ",Funyula ,ODM
148,"Owino, John Walter ",Awendo ,ODM
149,"Owino, Martin Peters ",Ndhiwa ,ODM
150,"Owuor, Joshua Aduma ",Nyakach ,ODM
151,"Oyoo, James Onyango ",Muhoroni ,ODM
152,"Oyula, Joseph H. Maero ",Butula ,ODM
153,"Passaris, Esther Muthomi ",Nairobi City (CWR) ,ODM
154,"Sakimba, Parashina Samuel ",Kajiado South ,ODM
155,"Shimbwa, Omar Mwinyi ",Changamwe ,ODM
156,"Shinali, Bernard Masaka ",Ikolomani ,ODM
157,"Wandayi, James Opiyo ",Ugunja ,ODM
158,"Wangaya, Christopher Aseka ",Khwisero ,ODM
159,"Wangwe, Emmanuel ",Navakholo ,ODM
160,"Wanjala, Raphael Sauti Bitta ",Budalangi ,ODM
161,"Were, Charles Ong�ondo",Kasipul ,ODM
162,"Wetangula, Timothy Wanyonyi ",Westlands ,ODM
163,"Mupe, Anthony Kenga ",Rabai ,PAA
164,"Rai, Samuel Gonzi ",Kinango ,PAA
165,"Tungule, Charo Kenneth Kazungu ",Ganze ,PAA
166,"Kiunjuri, Festus Mwangi ",Laikipia East ,TSP
167,"Nduyo, Susan Ngugi ",Tharaka-Nithi(CWR) ,TSP
168,"Akuja, Protus Ewesit ",Loima ,UDA
169,"Alfah, Miruka Ondieki ",Bomachoge Chache ,UDA
170,"Ali, Abdisirat Khalif ",Nominated ,UDA
171,"Bader, Salim Feisal ",Msambweni ,UDA
172,"Barre, Hussein Abdi ",Tarbaj ,UDA
173,"Barrow, Dekow Mohamed ",Garissa Township ,UDA
174,"Bartoo, Phylis Jepkemoi ",Moiben ,UDA
175,"Baya, Owen Yaa ",Kilifi North ,UDA
176,"Biego, Paul Kibichy ",Chesumei ,UDA
177,"Bowen, David Kangogo ",Marakwet East ,UDA
178,"Chebor, Paul Kibet ",Rongai ,UDA
179,"Chege, John Kiragu ",Limuru ,UDA
180,"Chelule, Liza Chepkorir ",Nakuru (CWR) ,UDA
181,"Chepkonga, Kiprono Samwel ",Ainabkoi ,UDA
182,"Chepkorir, Linet ",Bomet (CWR) ,UDA
183,"Chepkwony, Charity Kathambi ",Njoro ,UDA
184,"Cherorot, Joseph Kimutai ",Kipkelion East ,UDA
185,"Chesebe, Fred Kapondi ",Mt. Elgon ,UDA
186,"Chumel, Samwel Moroto ",Kapenguria ,UDA
187,"Double N, Pamela Njoki Njeru ",Embu (CWR) ,UDA
188,"Emathe, Joseph Namuar ",Turkana Central ,UDA
189,"Gachagua, George N. ",Ndaragwa ,UDA
190,"Gachobe, Samuel Kinuthia ",Subukia ,UDA
191,"Gakuya, James Mwangi ",Embakasi North ,UDA
192,"Gathiru, Mejjadonk Benjamin ",Embakasi Central ,UDA
193,"Gichohi, Kaguchia John Philip ",Mukurweini ,UDA
194,"Gichuki, Edwin Mugo ",Mathioya ,UDA
195,"Gikaria, David ",Nakuru Town East ,UDA
196,"Gitari, Joseph Gachoki ",Kirinyaga Central ,UDA
197,"Gitau, Faith Wairimu ",Nyandarua (CWR) ,UDA
198,"Githinji, Robert Gichimu ",Gichugu ,UDA
199,"GK, George Macharia Kariuki ",Ndia ,UDA
200,"Ichung�wah, Anthony Kimani",Kikuyu ,UDA
201,"Ikiara, Dorothy Muthoni ",Nominated ,UDA
202,"Iraya, Joseph Wainaina ",Nominated ,UDA
203,Jhanda Zaheer ,Nyaribari Chache ,UDA
204,"Kagiri, Jane Wangechi ",Laikipia (CWR) ,UDA
205,"Kagombe, Gabriel Gathuka ",Gatundu South ,UDA
206,"Kahangara, Joseph Mburu ",Lari ,UDA
207,"Kahugu, Eric Meangi ",Mathira ,UDA
208,"Kailema, Elizabeth Karambu ",Meru (CWR) ,UDA
209,"Kamuren, Charles ",Baringo South ,UDA
210,"Kandie, Joshua Chepyegon ",Baringo Central ,UDA
211,"Karani, Stephen Wachira ",Laikipia West ,UDA
212,"Karemba, Eric Muchangi Njiru ",Runyenjes ,UDA
213,"Kemei, Beatrice Chepng�eno",Kericho (CWR) ,UDA
214,"Kemei, Justice Kipsang ",Sigowet/Soin ,UDA
215,"Kemero, Maisori Marwa Kitayama ",Kuria East ,UDA
216,"Kihara, Jayne Wanjiru Njeru ",Naivasha ,UDA
217,"Kihungi, Peter Irungu ",Kangema ,UDA
218,"Kilel, Richard Cheruiyot ",Bomet Central ,UDA
219,"Kimani, Francis Kuria ",Molo ,UDA
220,"Kingara, Simon Ng�ang�a",Ruiru ,UDA
221,"Kipbiwot, Julius Melly ",Tinderet ,UDA
222,"Kipgnor, Reuben Kiborek ",Mogotio ,UDA
223,"Kipkoech, Gideon Kimaiyo ",Keiyo South ,UDA
224,"Kipkoros, Joseph Makilap ",Baringo North ,UDA
225,"Kiplagat, David ",Soy ,UDA
226,"Kiprono, Mutai Alfred ",Kuresoi North ,UDA
227,"Kipyegon, Johana Ng�eno",Emurua Dikirr ,UDA
228,"Kirima, Moses Nguchine ",Central Imenti ,UDA
229,"Kirwa, Abraham Kipsang ",Mosop ,UDA
230,"Kitany, Marianne Jebet ",Aldai ,UDA
231,"Kitur, Bernard Kibor ",Nandi Hills ,UDA
232,"Koech, Nelson ",Belgut ,UDA
233,"Komingoi, Kibet Kirui ",Bureti ,UDA
234,"Korir, Adams Kipsanai ",Keiyo North ,UDA
235,"Kosgei, Hilary Kiplangat ",Kipkelion West ,UDA
236,"Kosgei, Jackson Kipkemoi ",Nominated ,UDA
237,"Langat, Benjamin Kipkirui ",Ainamoi ,UDA
238,"Lelmengit, Josses Kiptoo Kosgey ",Emgwen ,UDA
239,"Lemanken, Aramat ",Narok East ,UDA
240,"Lenguris, Pauline ",Samburu (CWR) ,UDA
241,"Letipila, Dominic Eli ",Samburu North ,UDA
242,"Lochakapong, Peter ",Sigor ,UDA
243,"Logova, Sloya Clement ",Sabatia ,UDA
244,"M�Anaiba, Julius Taitumu",Igembe North ,UDA
245,"Maina, Betty Njeri ",Murang’a (CWR) ,UDA
246,"Maina, Jane Njeri ",Kirinyaga (CWR) ,UDA
247,"Maingi, Mary ",Mwea ,UDA
248,"Mathenge, Duncan Maina ",Nyeri Town ,UDA
249,"Mbai, Nimrod Mbithuka ",Kitui East ,UDA
250,"Mbiuki, Japhet Miriti Kareke ",Maara ,UDA
251,"Mizighi, Lydia Haika Mnene ",Taita Taveta (CWR) ,UDA
252,"Mohamed, Mohamed Ali ",Nyali ,UDA
253,"Mokaya, Nyakundi Japheth ",Kitutu Chache North ,UDA
254,"Muchira, Michael Mwangi ",Ol Jorok ,UDA
255,"Muge, Cynthia Jepkosgei ",Nandi (CWR) ,UDA
256,"Muhia, Wanjiku ",Kipipiri ,UDA
257,"Mukunji, John Gitonga Mwaniki ",Manyatta ,UDA
258,"Munyoro, Joseph Kamau ",Kigumo ,UDA
259,"Muratha, Anne Wanjiku Mugo ",Kiambu (CWR) ,UDA
260,"Muriu, Wakili Edward ",Gatanga ,UDA
261,"Murugara, George Gitonga ",Tharaka ,UDA
262,"Murwithania, Rindikiri Mugambi ",Buuri ,UDA
263,"Musau, Vincent Musyoka ",Mwala ,UDA
264,"Mutua, Didmus Wekesa Barasa ",Kimilili ,UDA
265,"Mutunga, John Kanyuithia ",Tigania West ,UDA
266,"Mwafrika, Augustine Kamande ",Royasambu ,UDA
267,"Mwangi, Geoffrey Wandeto ",Tetu ,UDA
268,"Mwangi, Teresia Wanjiru ",Nominated ,UDA
269,"Mwiring, John Paul ",Igembe South ,UDA
270,"Nanok, Daniel Epuyo ",Turkana West ,UDA
271,Ndung�u George Koimburi,Juja ,UDA
272,Ng�ang�a Alice Wambui,Thika Town ,UDA
273,"Ngitit, Cecilia Asinyen ",Turkana (CWR) ,UDA
274,"Nguro, Onesmus Ngogoyo ",Kajiado North ,UDA
275,"Njoroge, Mary Wamaua Waithira ",Maragwa ,UDA
276,"Njuguna, Chege ",Kandara ,UDA
277,"Ntwiga, Patrick Munene ",Chuka/Igambang’ombe ,UDA
278,"Nyamoko, Joash Nyamache ",North Mugirango ,UDA
279,"Nyoro, Samson Ndindi ",Kiharu ,UDA
280,"Onyiego, Silvanus Osoro ",South Mugirango ,UDA
281,"Otucho, Mary Emaase ",Teso South ,UDA
282,"Pukose, Robert (Dr.) ",Endebess ,UDA
283,"Raso, Dido Ali ",Saku ,UDA
284,"Risa, Sunkuiya George ",Kajiado West ,UDA
285,"Robi, Mathias Nyamabe ",Kuria West ,UDA
286,"Rutto, Julius Kipletting ",Kesses ,UDA
287,"Saney, Ibrahim Abdi ",Wajir North ,UDA
288,"Sankaire, Leah Sopiato ",Kajiado (CWR) ,UDA
289,"Sergon, Flowrence Jematiah ",Baringo (CWR) ,UDA
290,"Shollei, Gladys Jepkosgei Boss ",Uasin Gishu (CWR) ,UDA
291,"Sigei, Francis Kipyegon arap ",Sotik ,UDA
292,"Sirma, Musa Cherutich ",Eldama Ravine ,UDA
293,"Sitati, Daniel Wanyama ",Webuye West ,UDA
294,"Sitienei, Janet Jepkemboi ",Turbo ,UDA
295,"Siyoi, Lillian Chebet ",Trans Nzoia (CWR) ,UDA
296,"Sudi, Oscar Kipchumba ",Kapseret ,UDA
297,"Tongoyo, Gabriel Koshal ",Narok West ,UDA
298,"Tonkei, Rebecca Noonaishi ",Narok (CWR) ,UDA
299,"Tonui, Joseph Kipkosgei ",Kuresoi South ,UDA
300,"Wachira, Rahab Mukami ",Nyeri (CWR) ,UDA
301,"Wainaina, Antony Njoroge ",Kieni ,UDA
302,"Wainaina, Michael Wambugu ",Othaya ,UDA
303,"Waithaka, John Machua ",Kiambu ,UDA
304,"Wamacukuru, James Githua Kamau ",Kabete ,UDA
305,"Wamuchomba, Gathoni ",Githunguri ,UDA
306,John Njuguna ,Kiambaa ,UDA
307,"Wanjira, Martha Wangari ",Gilgil ,UDA
308,"Waqo, Naomi Jillo ",Marsabit (CWR) ,UDA
309,"Waweru, John Kiarie ",Dagoretti South ,UDA
310,"Yakub, Farah Salah ",Fafi ,UDA
311,"Yegon, Brighton Leonard ",Konoin ,UDA
312,"Yegon, Richard Kipkemoi ",Bomet East ,UDA
313,"Abdullahi, Bashir Sheikh ",Mandera North ,UDM
314,"Chiforomodo, Mangale Munga ",Lungalunga ,UDM
315,"Haro, Abdul Ebrahim ",Mandera South ,UDM
316,VACANT,Banissa ,
317,"Harun, Suleka Hulbale ",Nominated ,UDM
318,"Lekuton, Joseph ",Laisamis ,UDM
319,"Sheikh, Umul Ker Kassim ",Mandera (CWR) ,UDM
320,"Yussuf, Adan Haji ",Mandera West ,UDM
321,Onchoke Charles ,Bonchari ,UPA
322,"Jaldesa, Guyo Waqo ",Moyale ,UPIA
323,"Yakub, Adow Kuno ",Bura ,UPIA
324,"Abdi, Khamis Chome ",Voi ,WDM
325,"Aburi, Donya Dorice ",Kisii (CWR) ,WDM
326,"Basil, Robert Ngui ",Yatta ,WDM
327,"Bwire, John Okano ",Taveta ,WDM
328,"Kamene, Joyce ",Machakos (CWR) ,WDM
329,"Kasalu, Irene Muthoni ",Kitui (CWR) ,WDM
330,"Kiamba, Suzanne Ndunge ",Makueni ,WDM
331,"Kimilu, Joshua Kivinda ",Kaiti ,WDM
332,King�ola Patrick Makau,Mavoko ,WDM
333,"Maalim, Farah ",Dadaab ,WDM
334,"Mawathe, Julius Musili ",Embakasi South ,WDM
335,"Mbalu, Jessica Nduku Kiko ",Kibwezi East ,WDM
336,"Mboni, David Mwalika ",Kitui Rural ,WDM
337,"Mbui, Robert ",Kathiani ,WDM
338,"Momanyi, Innocent Obiri ",Bomachoge Borabu ,WDM
339,"Mule, Stephen Mutinda ",Matungulu ,WDM
340,"Mulu, Makali Benson ",Kitui Central ,WDM
341,"Mulyungi, Gideon Mutemi ",Mwingi Central ,WDM
342,"Mumo, Rose Museo ",Makueni (CWR) ,WDM
343,"Mwakuwona, Danson Mwashako ",Wundanyi ,WDM
344,"Nguna, Charles Ngusya ",Mwingi West ,WDM
345,"Nyenze, Edith Vethi ",Kitui West ,WDM
346,"Nzambia, Thudeeus Kithua ",Kilome ,WDM
347,"Nzengu, Paul Musyimi ",Mwingi North ,WDM
348,"Nzioka, Erastus Kivasu ",Mbooni ,WDM
349,"Twalib, Abubakar Ahmed ",Nominated ,WDM
,,,
,,,
,,,
,,,
,*CWR County Woman Representative,,
